País,Fecha,Valor_x,EREER_IX,PCPI_IX
AU,2020-08-01,843529.1305132757,88.4847294097385,
AU,2020-09-01,2826395.3233033726,88.6899009865294,
AU,2020-10-01,1153266.8756066004,87.1115508230035,
AU,2020-11-01,1710661.0805444552,87.9693825412861,
AU,2020-12-01,5643416.827910534,89.5870173290608,
AU,2021-01-01,11123729.43288109,91.4059358515498,
AU,2021-02-01,7221557.741083786,91.9017703159322,
AU,2021-03-01,6509939.145103969,92.6195572811263,
AU,2021-04-01,15174461.96114752,92.5691064294219,
AU,2021-05-01,23412371.477003317,92.3812737472345,
AU,2021-06-01,7993241.507356531,91.2572597745752,
AU,2021-07-01,6601432.141880268,89.702492786697,
AU,2021-08-01,14979585.089531071,88.4607421768397,
AU,2021-09-01,14847332.099381339,88.7457928517453,
AU,2021-10-01,23383598.313810453,90.0854765942634,
AU,2021-11-01,30641712.560370166,89.1994398773886,
AU,2021-12-01,12758548.055612534,88.0855390185145,
AU,2022-01-01,11261010.425927155,88.4512516915991,
AU,2022-02-01,8351981.970612396,88.1904761048202,
AU,2022-03-01,10164657.22808135,91.6357062800127,
AU,2022-04-01,7973170.703670575,93.198623339597,
AU,2022-05-01,9875521.627018185,91.1361398956319,
AU,2022-06-01,8458467.502895001,91.1992639775976,
AU,2022-07-01,5392634.111804354,90.8072347075857,
AU,2022-08-01,5646650.657981288,92.6643082547193,
AU,2022-09-01,5948755.127599805,91.6708804595642,
AU,2022-10-01,8783509.638579829,88.8664516961722,
AU,2022-11-01,14542350.100132167,90.6201489056692,
AU,2022-12-01,5883441.995594075,90.4984000668845,
AU,2023-01-01,12264069.283225281,91.3452665765628,
AU,2023-02-01,15277531.038246673,91.8319672181652,
AU,2023-03-01,33636675.22649892,89.5866259075743,
AU,2023-04-01,28790493.19717542,89.1000389434994,
AU,2023-05-01,34963550.47308819,89.4512600929012,
AU,2023-06-01,37535490.776098005,91.2990447434091,
AU,2023-07-01,39785043.88024696,91.3538612461938,
AU,2023-08-01,44627903.86383622,89.0808723094288,
AU,2023-09-01,30857509.731176198,89.2355854274645,
AU,2023-10-01,46560348.37974295,88.9878877347649,
AU,2023-11-01,61911930.15583247,89.9425864740845,
AU,2023-12-01,58968007.969786644,91.5006666855661,
AU,2024-01-01,57129029.83085496,92.4572073631978,
AU,2024-02-01,61887928.25238529,91.1989143199835,
AU,2024-03-01,89741394.45634893,91.5739168234768,
US,2020-01-01,8294449.959099459,115.579767218328,118.305202115975
US,2020-01-01,12586219.847229,115.579767218328,118.305202115975
US,2020-01-01,34671327.254167,115.579767218328,118.305202115975
US,2020-01-01,55676486.06724459,115.579767218328,118.305202115975
US,2020-01-01,110234521.58806926,115.579767218328,118.305202115975
US,2020-02-01,13419159.022504516,117.039944103851,118.629431497944
US,2020-02-01,25927703.477904,117.039944103851,118.629431497944
US,2020-02-01,26348877.032945,117.039944103851,118.629431497944
US,2020-02-01,73427599.69278252,117.039944103851,118.629431497944
US,2020-02-01,138068795.3815824,117.039944103851,118.629431497944
US,2020-03-01,24933483.826736,120.582337127209,118.371240349361
US,2020-03-01,27358869.805470634,120.582337127209,118.371240349361
